"","start_station_id","start_station_latitude","start_station_longitude","count"
"1","119",40.69608941,-73.97803415,0.000216544646496442
"2","120",40.68676793,-73.95928168,0.000708451873442466
"3","127",40.73172428,-74.00674436,0.00407648846387636
"4","128",40.72710258,-74.00297088,0.0040858182051241
"5","143",40.69239502,-73.99337909,0.00155536251554703
"6","144",40.69839895,-73.98068914,0.000579322846028103
"7","146",40.71625008,-74.0091059,0.00194592711836
"8","150",40.7208736,-73.98085795,0.00187649491356705
"9","151",40.722103786686,-73.997249007225,0.00486931364947229
"10","152",40.71473993,-74.00910627,0.000228105412825163
"11","157",40.69089272,-73.99612349,0.00132698667543933
"12","161",40.72917025,-73.99810231,0.00234054813041112
"13","164",40.75323098,-73.97032517,0.00201427761402279
"14","167",40.7489006,-73.97604882,0.00291047362837085
"15","168",40.73971301,-73.99456405,0.00479643349682691
"16","173",40.7606832709659,-73.9845272898674,0.00415991528054092
"17","174",40.7381765,-73.97738662,0.00250888911379425
"18","195",40.70905623,-74.01043382,0.00267263283337413
"19","2000",40.70255088,-73.98940236,0.00195924566202526
"20","2001",40.699773,-73.979927,0.000158876028494111
"21","2002",40.716887,-73.963198,0.00226063686841962
"22","2003",40.7338121919663,-73.9805442094803,0.00323214688095595
"23","2005",40.70531194,-73.97100056,8.99170714456035e-05
"24","2006",40.76590936,-73.97634151,0.00502683754155369
"25","2008",40.70569254,-74.01677685,0.0033059059222696
"26","2009",40.71117444,-73.99682619,0.00155556533600894
"27","2010",40.72165481,-74.00234737,0.00229288532186289
"28","2012",40.739445,-73.976806,0.00240010973939126
"29","2021",40.75929124,-73.98859651,0.00312661263394348
"30","2022",40.759107,-73.959223,0.000709330762110731
"31","2023",40.75968085,-73.97031366,0.00132773035046632
"32","212",40.74334935,-74.00681753,0.00298997924943854
"33","216",40.70037867,-73.99548059,0.000521654228025772
"34","217",40.70277159,-73.99383605,0.00202759615768804
"35","223",40.73781509,-73.99994661,0.00266925249234234
"36","228",40.7546011026,-73.971878855,0.00175493785006389
"37","229",40.72743423,-73.99379025,0.00510181350563878
"38","232",40.69597683,-73.99014892,0.000904444046465627
"39","236",40.7284186,-73.98713956,0.00347897938309723
"40","237",40.73047309,-73.98672378,0.00365245848484867
"41","238",40.7361967,-74.00859207,0.00177197476886411
"42","239",40.69196566,-73.9813018,0.00183329415518077
"43","241",40.68981035,-73.97493121,0.000978676335523727
"44","242",40.697787,-73.973736,0.000766526132368611
"45","243",40.688226,-73.979382,0.000808307147521531
"46","244",40.69196035,-73.96536851,0.00109658263071255
"47","245",40.69327018,-73.97703874,0.000502183463682664
"48","247",40.73535398,-74.00483091,0.00176528169362117
"49","248",40.72185379,-74.00771779,0.000806955011108815
"50","249",40.71870987,-74.0090009,0.00112761416138438
"51","251",40.72317958,-73.99480012,0.00349905860882606
"52","252",40.73226398,-73.99852205,0.00233953402810159
"53","253",40.73543934,-73.99453948,0.00143968724543919
"54","254",40.73532427,-73.99800419,0.00228625985344058
"55","257",40.71939226,-74.00247214,0.00222061363060323
"56","258",40.68940747,-73.96885458,0.00125214592499551
"57","259",40.70122128,-74.01234218,0.00202103829608637
"58","260",40.70365182,-74.01167797,0.000863203885877794
"59","261",40.69474881,-73.98362464,0.000932636090670752
"60","262",40.6917823,-73.9737299,0.000844476796561679
"61","264",40.70706456,-74.00731853,0.00148113022648893
"62","265",40.72229346,-73.99147535,0.00310761511734482
"63","266",40.72368361,-73.97574813,0.00122260174437766
"64","267",40.75097711,-73.98765428,0.00266208616935495
"65","268",40.71910537,-73.99973337,0.00276755280954679
"66","270",40.69308257,-73.97178913,0.00125444455689712
"67","274",40.68691865,-73.976682,0.00123213430608731
"68","275",40.68650065,-73.96563307,0.000721702810287081
"69","276",40.71748752,-74.0104554,0.00142920818824065
"70","278",40.69766564,-73.98476437,0.00051333858908757
"71","279",40.707873,-74.00167,0.00217971150411857
"72","280",40.73331967,-73.99510132,0.00177697767359116
"73","281",40.7643971,-73.97371465,0.00459706098277196
"74","282",40.7076449441757,-73.9684152603149,0.00113403680934478
"75","284",40.7390169121,-74.0026376103,0.000926145835889716
"76","285",40.73454567,-73.99074142,0.00627580594597931
"77","289",40.6845683,-73.95881081,0.000605959933358605
"78","291",40.713126,-73.984844,0.00111470125864294
"79","293",40.7302066052995,-73.9910262823105,0.00558797415283076
"80","295",40.71406667,-73.99293911,0.00179043143089768
"81","296",40.71413089,-73.9970468,0.00225123952035124
"82","297",40.734232,-73.986923,0.00359648003736223
"83","298",40.68683208,-73.9796772,0.000660518637611689
"84","3002",40.711512,-74.015756,0.00512689563609466
"85","301",40.72217444,-73.98368779,0.00271312931893497
"86","3016",40.7203677529846,-73.9616507291794,0.00274064529493374
"87","302",40.72082834,-73.97793172,0.00154555952655484
"88","303",40.72362738,-73.99949601,0.00242127067425026
"89","304",40.70463334,-74.01361706,0.00294988840480152
"90","3041",40.67890679,-73.94142771,0.000380220759255695
"91","3047",40.6823687,-73.944118,0.000459388346220207
"92","3048",40.68402,-73.94977,0.000313898468211983
"93","3049",40.68488,-73.96304,0.000520302091613056
"94","305",40.76095756,-73.96724467,0.00273219444235427
"95","3050",40.6851532,-73.94111,0.000457224927959862
"96","3053",40.6900815,-73.947915,0.00029064172191327
"97","3054",40.6894932,-73.942061,0.000371769906676221
"98","3055",40.6883337,-73.950916,0.000401449300935334
"99","3056",40.69072549,-73.95133465,0.000371769906676221
"100","3057",40.69128258,-73.9452416,0.000474802701325168
"101","306",40.70823502,-74.00530063,0.00100517820921296
